Genus,species,subspecies,binomial,current,common,h_l,h_w,u_l,u_w,f_l,f_w,t_l,t_w,m_l,m_w
Odocoileus,virginianus,NA,Odocoileus virginianus,Odocoileus virginianus,Whitetailed deer,173,21.9,206,21.4,227,19.4,237,17.1,144,13.0
Odocoileus,virginianus,NA,Odocoileus virginianus,Odocoileus virginianus,Whitetailed deer,170,18.0,228,18.2,210,18.0,243,19.4,189,14.0
Odocoileus,virginianus,NA,Odocoileus virginianus,Odocoileus virginianus,Whitetailed deer,224,27.3,298,22.3,273,24.6,314,23.9,215,18.6
Rangifer,caribou,NA,Rangifer caribou,Rangifer tarandus,Caribou,283,36.9,394,36.4,344,30.8,378,29.6,225,26.3
Rangijer,terandus,NA,Rangijer terandus,Rangifer tarandus,Reindeer,248,19.7,337,26.8,297,15.9,324,23.2,190,21.4
Rangijer,terrae-novae,NA,Rangijer terrae-novae,Rangifer tarandus,Woodland caribou,241,27.0,327,24.3,282,24.0,327,24.1,279,26.5
Tragulus,javanicus,NA,Tragulus javanicus,Tragulus javanicus,Mouse deer,73,6.7,77,6.8,87,6.9,99,6.8,NA,NA
Hylochoerus,meinhertzhageni,NA,Hylochoerus meinhertzhageni,Hylochoerus meinhertzhageni,Giant forest hog,269,45.6,266,45.6,276,37.2,217,34.0,NA,NA
Hylochoerus,meinhertzhageni,NA,Hylochoerus meinhertzhageni,Hylochoerus meinhertzhageni,Giant forest hog,264,39.5,257,42.5,271,27.0,223,31.3,NA,NA
Phacochoerus,aethiopicus,NA,Phacochoerus aethiopicus,Phacochoerus aethiopicus,Wart hog,155,17.0,164,22.4,165,15.7,160,14.9,NA,NA
Sus,scroja,NA,Sus scroja,Sus scroja,Domestic pig,255,33.6,278,30.8,286,26.9,259,25.6,NA,NA
Sus,scrofa,NA,Sus scrofa,Sus scrofa,Domestic pig,218,40.1,246,43.7,245,33.0,224,27.4,NA,NA
Antilocapra,americanus,NA,Antilocapra americanus,Antilocapra americana,Pronghorn antelope,180,23.5,250,19.1,222,19.0,265,17.5,NA,NA
Antilocapra,americanus,NA,Antilocapra americanus,Antilocapra americana,Pronghorn antelope,195,23.7,264,23.5,230,20.5,270,19.4,233,16.5
Lama,huanachus,NA,Lama huanachus,Lama guanicoe,Llama,216,32.2,296,16.5,288,26.8,281,22.8,NA,NA
Giraffa,camelopardalis,NA,Giraffa camelopardalis,Giraffa camelopardalis,Giraffe,456,74.2,767,44.5,484,57.8,560,43.9,630,50.0
Hippopotamus,amphibius,NA,Hippopotamus amphibius,Hippopotamus amphibius,Hippopotamus,520,88.4,461,136.0,NA,NA,400,83.8,NA,NA
Tayassu,albirostris,NA,Tayassu albirostris,Tayassu pecari,Peccary,152,20.9,153,19.1,162,13.7,145,13.8,NA,NA
Equus,burchelli,NA,Equus burchelli,Equus burchelli,Zebra,257,41.0,358,22.7,351,45.5,312,33.2,218,22.4
Equus,burchelli,granti,Equus burchelli,Equus burchelli,Grant's zebra,252,44.2,351,28.7,349,47.9,308,34.3,200,24.2
Equus,caballus,NA,Equus caballus,Equus caballus,Horse,317,50.1,446,31.0,NA,NA,382,37.9,241,26.9
Equus,caballus,NA,Equus caballus,Equus caballus,Horse,327,50.1,444,30.8,439,56.0,380,36.2,244,26.4
Equus,caballus,NA,Equus caballus,Equus caballus,Horse,327,50.5,442,31.3,445,57.6,373,38.1,247,28.0
Equus,caballus x asinus,NA,Equus caballus x asinus,Equus caballus x asinus,Mule,280,44.3,392,25.7,373,48.5,338,30.8,NA,NA
Equus,caballus x asinus,NA,Equus caballus x asinus,Equus caballus x asinus,Mule,304,46.4,442,27.4,409,51.2,384,35.0,251,25.3
Equus,grevyi,NA,Equus grevyi,Equus grevyi,Zebra,268,39.9,383,27.0,361,50.5,315,35.6,213,24.5
Equus,hemippus,NA,Equus hemippus,Equus hemippus,Syrian wild ass,229,36.3,333,21.0,298,40.0,292,27.0,206,19.2
Equus,przewalskii,NA,Equus przewalskii,Equus przewalskii,Tarpan,267,43.2,376,25.8,350,48.8,319,33.4,220,22.4
Ceratotherium,simum,cottoni,Ceratotherium simum,Ceratotherium simum,Giant white rhino,470,118.0,560,86.0,544,67.0,393,72.0,NA,NA
Diceros,bicornis,NA,Diceros bicornis,Diceros bicornis,Black rhino,470,76.0,522,81.0,490,60.0,380,62.0,NA,NA
Rhinoceros,unicornis,NA,Rhinoceros unicornis,Rhinoceros unicornis,Indian rhino,380,45.1,402,55.1,415,48.4,302,40.7,NA,NA
Tapirus,indicus,NA,Tapirus indicus,Tapirus indicus,Malayan tapir,261,40.6,312,48.9,331,39.7,274,36.2,NA,NA
Tapirus,pinchaque,NA,Tapirus pinchaque,Tapirus pinchaque,S. American tapir,278,33.5,317,43.3,340,35.1,290,30.3,NA,NA
