Continent,Species Distribution,Status,Order,FAMILY,Genus,Species,LogMass,Combined Mass (g),Comments,Reference,IUCN status,Diet Category,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Neotragus,batesi,3.477,2999.991,"hunting, habitat loss",60,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Neotragus,moschatus,3.813,6499.950,habitat loss,"63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Neotragus,pygmaeus,3.602,4000.000,"hunting, habitat loss",60,LR,,,,,,,,,,,,,,,
NAm,,extant,Artiodactyla,Cervidae,Odocoileus,hemionus,4.734,54212.571,,60,,,,,,,,,,,,,,,,
NAm,,extant,Artiodactyla,Cervidae,Odocoileus,virginianus,4.744,55508.565,,60,,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Giraffidae,Okapia,johnstoni,5.362,230001.146,"hunting, habitat loss","63, 70",LR,,,,,,,,,,,,,,,
NAm,,extant,Artiodactyla,Bovidae,Oreamnos,americanus,4.860,72500.333,,60,,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Oreotragus,oreotragus,4.114,12999.900,"hunting, changes in native competitors","63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Oryx,dammah,5.301,200000.002,"hunting, habitat loss",60,EW,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Oryx,gazella,5.228,169001.282,"hunting, habitat loss, invasive competitors","63, 70",LR,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Oryx,leucoryx,4.943,87700.000,invasive pathogens/parasites,68,EN,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Ourebia,ourebi,4.237,17250.036,"hunting, habitat loss","63, 70",LR,,,,,,,,,,,,,,,
NAm/EA,,11/24/16,11/24/16,11/24/16,Ovibos,moschatus,5.530645011,340501.064,,combined,,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Ovis,ammon,5.255,180000.000,"hunting, habitat loss, changes in native competitors, human disturbance, low densities",68,VU,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Ovis,aries,4.699,50000.000,Added in by KJ and ME,68,,,,,,,,,,,,,,,,
NAm,,extant,Artiodactyla,Bovidae,Ovis,canadensis,4.873,74644.876,"hunting, habitat loss, pathogens/parasites, low densities",60,LR,,,,,,,,,,,,,,,
NAm,,extant,Artiodactyla,Bovidae,Ovis,dalli,4.745,55650.619,,60,,,,,,,,,,,,,,,,
EA,Russia,extant,Artiodactyla,Bovidae,Ovis,nivicola,4.954,90000.000,"hunting, changes in native competitors",135,LR,,,,,,,,,,,,,,,
EA,"Uzbekistan, Tadzhikistan, Iran to Afghanistan, Pakistan, NW India",extant,Artiodactyla,Bovidae,Ovis,vignei,4.778,60000.000,,56,,,,,,,,,,,,,,,,
SA,,extant,Artiodactyla,Cervidae,Ozotoceros,bezoarticus,4.602,40000.001,"habitat loss, invasive spp., parasites/pathogens, high juvenile mortality rate",60,NT,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Pantholops,hodgsonii,4.439,27500.000,"hunting, habitat loss, invasive competitors",68,EN,,,,,,,,,,,,,,,
NAm,,extant,Artiodactyla,Tayassuidae,Pecari,tajacu,4.328,21266.695,,60,,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Pelea,capreolus,4.301,20000.000,hunting,60,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Suidae,Phacochoerus,aethiopicus,4.851,71000.270,,"63, 70",,,,,,,,,,,,,,,,
AF,"Senegal to Somalia; S to S Africa, Botswana and Nambia",extant,Artiodactyla,Suidae,Phacochoerus,africanus,4.916,82500.000,female:45000-75000; males:60000-150000,70,,,,,,,,,,,,,,,,
AF,"Ethiopia, Sudan, Zaire, South Africa, Botswana, Angola",extant,Artiodactyla,Suidae,Potamochoerus,larvatus,4.989,97500.000,,70,,,,,,,,,,,,,,,,
Insular,Madagascar,extant,Artiodactyla,Suidae,Potamochoerus,larvatus,1.796,62.500,,150,,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Suidae,Potamochoerus,porcus,4.845,70000.316,,"63, 70",,,,,,,,,,,,,,,,
EA,Mongolia,extant,Artiodactyla,Bovidae,Procapra,gutturosa,4.443,27750.000,"hunting, habtat loss",95,LR,,,,,,,,,,,,,,,
EA,"China, Indian himalayas",extant,Artiodactyla,Bovidae,Procapra,picticaudata,4.301,20000.000,"hunting, habtat loss",136,LR,,,,,,,,,,,,,,,
EA,NC China,extant,Artiodactyla,Bovidae,Procapra,przewalskii,4.439,27500.000,"hunting, habitat loss, high juvenile mortality, low densities",141,CR,,,,,,,,,,,,,,,
EA,,extant,Artiodactyla,Bovidae,Pseudois,nayaur,4.653,45000.000,"hunting, habitat loss",68,LR,,,,,,,,,,,,,,,
EA,China,extant,Artiodactyla,Bovidae,Pseudois,schaeferi,4.466,29250.000,hunting,80,EN,,,,,,,,,,,,,,,
SA,,extant,Artiodactyla,Cervidae,Pudu,mephistophiles,3.982,9599.973,"hunting, invasive predators",61,LR,,,,,,,,,,,,,,,
SA,,extant,Artiodactyla,Cervidae,Pudu,puda,3.989,9749.896,"hunting, invasive spp.",61,VU,,,,,,,,,,,,,,,
NA,,extant,Artiodactyla,Cervidae,Rangifer,tarandus,4.935,86033.977,,60,,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Raphicerus,campestris,4.021,10500.017,,"63, 70",,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Raphicerus,melanotis,4.011,10249.909,restricted range,60,LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Raphicerus,sharpei,3.978,9499.921,"hunting, habitat loss","63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Redunca,arundinum,4.763,58000.268,habitat loss,"63, 70",LR,,,,,,,,,,,,,,,
AF,,extant,Artiodactyla,Bovidae,Redunca,fulvorufula,4.470,29499.863,"restricted range, unknown","63, 70",LR,,,,,,,,,,,,,,,
